LI-8100,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,LI-8100,LI-8150,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810
2024-06-02 18:37:16,154.775880,99.980000,6978.600000,24.505330,289823.015180,0.038160,290294.799720,0.038160,15,3.400620,-0.763440,6.756460,0.956380,0.943570,-0.763440,0.976060,0.976060,501.830000,2061.972700
2024-06-02 18:40:15,154.777950,99.990000,6978.600000,24.515220,-275943.477160,0.020430,-275943.477160,0.020430,16,3.284400,-2.798510,5.323930,0.995640,0.986050,-4.832810,0.983030,0.968650,477.650000,2111.252630
2024-06-02 18:43:03,154.779900,99.990000,6978.600000,138.820550,-422922.984100,0.000620,-515814.178980,0.000200,10,-0.209690,0.541120,-0.194810,0.210410,0.211980,0.541120,0.975080,0.975080,476.760000,2047.586680
2024-06-02 18:46:03,154.781980,99.990000,6978.600000,24.299670,548159.498670,0.017700,548159.498670,0.017700,9,16.380260,-1.748770,16.380260,0.996430,0.996430,-1.748770,0.996240,0.996240,495.240000,2044.662800
2024-06-02 18:49:02,154.784050,99.990000,6978.600000,-69.271560,-415860.840380,0.108090,-405078.071440,0.107090,49,6.959160,-0.885360,7.725830,0.964330,0.970720,-0.885360,0.974250,0.974250,495.640000,2041.578710
2024-06-02 19:31:20,154.813430,100.000000,6978.600000,23.797670,935681.770190,0.038320,935681.770190,0.038320,13,4.568270,-0.532000,4.568270,0.986610,0.986610,-0.532000,0.982260,0.982260,482.620000,2030.746090
2024-06-02 19:34:19,154.815500,100.030000,6978.600000,-69.289670,194348.511430,0.022140,194348.511430,0.022140,14,3.403900,0.442810,5.388140,0.938990,0.945260,0.442810,0.642580,0.642580,486.140000,2034.878050
2024-06-02 19:37:18,154.817570,100.030000,6978.600000,23.774440,-1254.106510,0.000010,-1254.106510,0.000010,15,5.124300,-0.769250,5.124300,0.994620,0.994620,-2.551640,0.944080,0.905220,478.130000,2054.038610
2024-06-02 19:40:18,154.819650,100.030000,6978.600000,23.579000,141837.826870,0.071490,141837.826870,0.071490,16,2.311490,-0.240370,2.801280,0.991180,0.990640,-0.240370,0.957340,0.957340,490.030000,2040.132330
2024-06-02 19:43:06,154.821600,100.030000,6978.600000,138.379340,-205851.131330,0.057220,-1143557.594440,0.076090,10,-1.147070,0.117350,-1.147070,0.669340,0.669340,0.094820,0.315420,0.577300,468.100000,2037.383620
2024-06-02 19:46:07,154.823690,100.030000,6978.600000,23.440330,208034.040320,0.021540,208034.040320,0.021540,9,16.039880,-1.650910,16.039880,0.997050,0.997050,-1.650910,0.996660,0.996660,509.400000,2031.882510
2024-06-02 19:49:06,154.825760,100.030000,6978.600000,-69.316560,82153.285570,0.003560,-4030800.645960,0.026890,49,6.941310,-0.774400,6.941310,0.995160,0.995160,-0.774400,0.991920,0.991920,499.420000,2034.590440
2024-06-02 20:31:20,154.855090,100.000000,6978.600000,22.648000,-35467.285260,0.032230,-36096.414480,0.032050,13,3.809440,-0.416640,10.926790,0.987990,0.974470,-0.682190,0.976480,0.971920,586.450000,2052.298550
2024-06-02 20:34:18,154.857150,100.030000,6978.600000,-69.423330,47517161.779860,0.000710,55727305.898610,0.000340,14,9.143250,-0.275600,11.928500,0.995330,0.992760,-1.036730,0.911170,0.907380,638.800000,2047.050150
2024-06-02 20:37:16,154.859210,100.030000,6978.600000,22.495000,-191314.637100,0.035660,-193928.455410,0.035450,15,4.935960,-0.554580,8.068320,0.995190,0.990170,-1.691940,0.977260,0.953610,599.920000,2054.212580
2024-06-02 20:40:15,154.861280,100.040000,6978.600000,22.365000,263684.664470,0.040450,263684.664470,0.040450,16,4.074300,0.113660,9.783460,0.991890,0.971770,0.113660,0.419240,0.419240,601.990000,2053.690050
2024-06-02 20:43:02,154.863220,100.040000,6978.600000,137.392640,-5903.402700,0.000010,-5903.402700,0.000010,10,0.595090,2.500120,0.569510,0.105460,0.113560,2.500120,0.926950,0.926950,591.120000,2075.468280
2024-06-02 20:46:01,154.865290,100.040000,6978.600000,22.362670,-4727.732860,0.000030,-4727.732860,0.000030,9,16.222430,-1.806780,16.222430,0.996030,0.996030,-1.806780,0.995350,0.995350,660.900000,2094.863590
